PDB_ID	Component_ID	InChI
5LWJ	GTP	InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1
5LX8	NA	InChI=1S/Na/q+1
5LXR	SM	InChI=1S/Sm/q+3
5LXR	BR	InChI=1S/BrH/h1H/p-1
5LXR	CL	InChI=1S/ClH/h1H/p-1
5LXY	BR	InChI=1S/BrH/h1H/p-1
5LZ6	BGC	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1
5LZQ	MG	InChI=1S/Mg/q+2
5LZQ	2PN	InChI=1S/H5NO6P2/c2-8(3,4)1-9(5,6)7/h(H5,1,2,3,4,5,6,7)
5LZQ	NA	InChI=1S/Na/q+1
5LZR	WO4	InChI=1S/4O.W/q;;2*-1;
5LZR	MG	InChI=1S/Mg/q+2
5M2C	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5M33	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5M3D	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5M3D	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5M3R	HEM	InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4,35,36,37,38,39,40,41,42);/q;+2/p-2/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-;
5M3R	CMO	InChI=1S/CO/c1-2
5M3S	HEM	InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4,35,36,37,38,39,40,41,42);/q;+2/p-2/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-;
5M3T	CL	InChI=1S/ClH/h1H/p-1
5M3T	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5M4R	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5M93	RIB	InChI=1S/C5H10O5/c6-1-2-3(7)4(8)5(9)10-2/h2-9H,1H2/t2-,3-,4-,5+/m1/s1
5M96	Q6Y	InChI=1S/C26H33N7O2/c1-17-14-31(10-11-33(17)26(35)20-6-4-5-7-20)15-22-18(2)23(16-32-9-8-27-24(22)32)30-25(34)21-12-28-19(3)29-13-21/h8-9,12-13,16-17,20H,4-7,10-11,14-15H2,1-3H3,(H,30,34)/t17-/m0/s1
5MDM	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5MDM	FUC	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3+,4+,5-,6+/m0/s1
5MDN	MG	InChI=1S/Mg/q+2
5MGY	MG	InChI=1S/Mg/q+2
5MKG	CA	InChI=1S/Ca/q+2
5MKG	C2E	InChI=1S/C20H24N10O14P2/c21-19-25-13-7(15(33)27-19)23-3-29(13)17-9(31)11-5(41-17)1-39-45(35,36)44-12-6(2-40-46(37,38)43-11)42-18(10(12)32)30-4-24-8-14(30)26-20(22)28-16(8)34/h3-6,9-12,17-18,31-32H,1-2H2,(H,35,36)(H,37,38)(H3,21,25,27,33)(H3,22,26,28,34)/t5-,6-,9-,10-,11-,12-,17-,18-/m1/s1
5SUO	IOD	InChI=1S/HI/h1H/p-1
5SVI	ZN	InChI=1S/Zn/q+2
5SWA	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5SWA	BMA	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6-/m1/s1
5SWA	BR	InChI=1S/BrH/h1H/p-1
5SWB	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5SWB	BMA	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6-/m1/s1
5SWB	MAN	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6+/m1/s1
5SWB	CD	InChI=1S/Cd/q+2
5SWI	CA	InChI=1S/Ca/q+2
5SWI	BMA	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6-/m1/s1
5SZT	MG	InChI=1S/Mg/q+2
5SZT	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5SZT	72J	InChI=1S/C26H44N5O14P3/c27-25-24-19(11-7-6-9-13-28-22(34)12-8-4-2-1-3-5-10-14-32)16-31(26(24)30-18-29-25)23-15-20(33)21(43-23)17-42-47(38,39)45-48(40,41)44-46(35,36)37/h7,11,16,18,20-21,23,32-33H,1-6,8-10,12-15,17H2,(H,28,34)(H,38,39)(H,40,41)(H2,27,29,30)(H2,35,36,37)/b11-7+/t20-,21+,23+/m0/s1
5T1A	73R	InChI=1S/C26H36F3N5O/c1-5-6-17-13-19(33(4)16(2)3)8-10-23(17)34-12-11-22(25(34)35)32-24-20-14-18(26(27,28)29)7-9-21(20)30-15-31-24/h7,9,14-17,19,22-23H,5-6,8,10-13H2,1-4H3,(H,30,31,32)/t17-,19-,22+,23+/m1/s1
5T1A	VT5	InChI=1S/C18H19ClFNO3/c1-10(22)15-16(11-5-3-2-4-6-11)21(18(24)17(15)23)14-8-7-12(19)9-13(14)20/h7-9,11,16,23H,2-6H2,1H3/t16-/m1/s1
5T1A	OLC	InChI=1S/C21H40O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h9-10,20,22-23H,2-8,11-19H2,1H3/b10-9-/t20-/m1/s1
5T1A	ZN	InChI=1S/Zn/q+2
5T3R	MG	InChI=1S/Mg/q+2
5T3R	NA	InChI=1S/Na/q+1
5T4Y	MG	InChI=1S/Mg/q+2
5T7B	IPH	InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H
5TC4	NAD	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1
5TC4	L34	InChI=1S/C20H21N7O7/c21-19-24-15-14(17(31)25-19)27-11(7-22-15)8-26(20(27)34)10-3-1-9(2-4-10)16(30)23-12(18(32)33)5-6-13(28)29/h1-4,11-12H,5-8H2,(H,23,30)(H,28,29)(H,32,33)(H4,21,22,24,25,31)/t11-,12+/m1/s1
5TC4	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5TJ6	K	InChI=1S/K/q+1
5TJ6	MG	InChI=1S/Mg/q+2
5TJ6	CA	InChI=1S/Ca/q+2
5TJ6	PGW	InChI=1S/C40H77O10P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-40(44)50-38(36-49-51(45,46)48-34-37(42)33-41)35-47-39(43)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h17-18,37-38,41-42H,3-16,19-36H2,1-2H3,(H,45,46)/b18-17-/t37-,38+/m0/s1
5TPW	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5TPW	ZN	InChI=1S/Zn/q+2
5TPY	MG	InChI=1S/Mg/q+2
5TPY	HEZ	InChI=1S/C6H14O2/c7-5-3-1-2-4-6-8/h7-8H,1-6H2
5TPZ	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5TQ0	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5TQ0	IPA	InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3
5TQ2	ZN	InChI=1S/Zn/q+2
5TQ2	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5TSQ	CA	InChI=1S/Ca/q+2
5TSQ	BDR	InChI=1S/C5H10O5/c6-1-2-3(7)4(8)5(9)10-2/h2-9H,1H2/t2-,3-,4-,5-/m1/s1
5TTI	FAD	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1
5TTI	CL	InChI=1S/ClH/h1H/p-1
5TV7	HGA	InChI=1S/C5H10N2O4/c6-3(5(9)10)1-2-4(8)7-11/h3,11H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1
5TXG	K	InChI=1S/K/q+1
5TXG	TRS	InChI=1S/C4H11NO3/c5-4(1-6,2-7)3-8/h6-8H,1-3,5H2/p+1
5TXU	ZN	InChI=1S/Zn/q+2
5TXU	NA	InChI=1S/Na/q+1
5TXU	CL	InChI=1S/ClH/h1H/p-1
5TXU	FMT	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)
5TXU	DMS	InChI=1S/C2H6OS/c1-4(2)3/h1-2H3
5U1O	FAD	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1
5U1O	CL	InChI=1S/ClH/h1H/p-1
5U2K	EDO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2
5U2K	CL	InChI=1S/ClH/h1H/p-1
5U2K	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5U2K	COA	InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1
5U4H	NA	InChI=1S/Na/q+1
5U4H	FMT	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)
5U4H	0V5	InChI=1S/C3H7O6P/c1-2(3(4)5)9-10(6,7)8/h2H,1H3,(H,4,5)(H2,6,7,8)/t2-/m1/s1
5U4Q	NAD	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1
5U4Q	CL	InChI=1S/ClH/h1H/p-1
5WRN	DC	InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1
5DGF	ZN	InChI=1S/Zn/q+2
5DGF	SPS	InChI=1S/C13H19N3O5S2/c1-8-10(12(19)16-13(20)14-8)3-4-11(18)15-9(5-17)6-23(21)7-22-2/h3-4,9,17H,5-7H2,1-2H3,(H,15,18)(H2,14,16,19,20)/b4-3+/t9-,23+/m0/s1
5DGF	MG	InChI=1S/Mg/q+2
5DGF	OHX	InChI=1S/6H2N.Os/h6*1H2;/q6*-1;+6
5DGV	ZN	InChI=1S/Zn/q+2
5DGV	SPS	InChI=1S/C13H19N3O5S2/c1-8-10(12(19)16-13(20)14-8)3-4-11(18)15-9(5-17)6-23(21)7-22-2/h3-4,9,17H,5-7H2,1-2H3,(H,15,18)(H2,14,16,19,20)/b4-3+/t9-,23+/m0/s1
5DGV	MG	InChI=1S/Mg/q+2
5MDV	MG	InChI=1S/Mg/q+2
5MDV	FME	InChI=1S/C6H11NO3S/c1-11-3-2-5(6(9)10)7-4-8/h4-5H,2-3H2,1H3,(H,7,8)(H,9,10)/t5-/m0/s1
5MDV	ZN	InChI=1S/Zn/q+2
5MDW	MG	InChI=1S/Mg/q+2
5MDW	FME	InChI=1S/C6H11NO3S/c1-11-3-2-5(6(9)10)7-4-8/h4-5H,2-3H2,1H3,(H,7,8)(H,9,10)/t5-/m0/s1
5MDW	ZN	InChI=1S/Zn/q+2
5MDZ	MG	InChI=1S/Mg/q+2
5MDZ	FME	InChI=1S/C6H11NO3S/c1-11-3-2-5(6(9)10)7-4-8/h4-5H,2-3H2,1H3,(H,7,8)(H,9,10)/t5-/m0/s1
5MDZ	ZN	InChI=1S/Zn/q+2
1FCZ    156     InChI=1S/C24H26O3/c1-23(2)13-14-24(3,4)20-15-18(10-11-19(20)23)21(25)12-7-16-5-8-17(9-6-16)22(26)27/h5-12,15H,13-14H2,1-4H3,(H,26,27)/b12-7+
